Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  ,Is the orientation ncKwa?,Any other defence system on same loci?,Other systems present,Remarks,Phylum,Order
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Sporosarcina sp. 179-K 8C2 HS],224,224,99%,8.00E-68,26.38,304,WP_413054447.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Tuanshanicoccus yangjingiae],223,223,100%,1.00E-67,25.5,294,WP_446453597.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Lapidilactobacillus dextrinicus],223,223,99%,1.00E-67,26.8,304,WP_436436467.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),GNS bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ktedonobacteraceae bacterium],224,224,97%,1.00E-67,17.7,328,HLI89811.1,No,N/A ,,,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),GNS bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ktedonobacteraceae bacterium],223,223,99%,2.00E-67,18.57,317,HVB74181.1,No,N/A ,,,Chloroflexota,Ktedonobacterales
16 member(s) 15 organism(s),proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Aeromonas hydrophila],224,224,99%,2.00E-67,12.88,340,WP_106552038.1,No,N/A ,,,Pseudomonadota,Aeromonadales
1 member(s) 1 organism(s),bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Granulicella sibirica],223,223,96%,2.00E-67,15.88,312,WP_128911003.1,No,N/A ,,,Acidobacteria,Terriglobales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Megamonas hypermegale],222,222,99%,2.00E-67,36.42,303,WP_204935891.1,Yes,No,,,Bacillota,Selenomonadales
2 member(s) 2 organism(s),a-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Mesorhizobium sp.],223,223,99%,2.00E-67,17.83,317,WP_292649354.1,No,Yes,,,Pseudomonadota,Hyphomicrobiales
1 member(s) 1 organism(s),e-proteobacteria,DUF4868 domain-containing protein [Campylobacteraceae bacterium],222,222,99%,3.00E-67,25.33,305,MDR1285027.1,Yes,Yes,,,Campylobacterota,Campylobacterales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Mesobacillus persicus],222,222,99%,3.00E-67,27.27,306,WP_090749776.1,Yes,No,,,Bacillota,Bacillales
2 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Faecalibacterium sp. Marseille-P9590],222,222,96%,5.00E-67,25.09,308,WP_207675975.1,Yes,No,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),CFB group bacteria,DUF4868 domain-containing protein [Cytophagaceae bacterium],222,222,99%,5.00E-67,13.25,340,MDR2926725.1,No,N/A ,,,Bacteroidota,Cytophagales
1 member(s) 1 organism(s),bacteria,MAG: DUF4868 domain-containing protein [bacterium],222,222,99%,6.00E-67,13.9,338,TNE71512.1,N/A,N/A ,,,unclassified Bacteria,unclassified Bacteria
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Leuconostoc gelidum],221,221,100%,1.00E-66,36.81,307,WP_224145239.1,Yes,No,,,Bacillota,Lactobacillales
16 member(s) 13 organism(s),enterobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Enterobacter hormaechei],222,222,99%,1.00E-66,14.11,340,WP_157506693.1,No,N/A ,,,Pseudomonadota,Enterobacterales
4 member(s) 3 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Aeromonas veronii],222,222,99%,1.00E-66,13.19,340,WP_236563795.1,No,N/A ,,,Pseudomonadota,Aeromonadales
2 member(s) 2 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Shewanella sp. SG44-6],221,221,99%,1.00E-66,14.11,340,WP_182741637.1,No,N/A ,,,Pseudomonadota,Alteromonadales
1 member(s) 1 organism(s),bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Terriglobales bacterium],220,220,99%,2.00E-66,14.43,312,MGA3106947.1,No,N/A ,,,Acidobacteria,Terriglobales
1 member(s) 1 organism(s),CFB group bacteria,DUF4868 domain-containing protein [Paludibacteraceae bacterium],221,221,99%,2.00E-66,12.08,337,MBQ4391349.1,No,N/A ,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Terriglobales bacterium],220,220,91%,3.00E-66,13.54,330,HZU42959.1,No,N/A ,,,Acidobacteria,Terriglobales
1 member(s) 1 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Photobacterium sp. S4TG1],221,221,99%,4.00E-66,14.72,339,WP_327761306.1,No,N/A ,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),CFB group bacteria,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Bacteroides],220,220,99%,4.00E-66,13.9,338,WP_004299172.1,N/A,N/A ,,Seems to only have ncKwaB,Bacteroidota,Bacteroidales
2 member(s) 2 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Thiomicrorhabdus sp.],220,220,99%,4.00E-66,11.73,341,WP_319557342.1,No,N/A ,,,Pseudomonadota,Thiotrichales
1 member(s) 1 organism(s),euryarchaeotes,Kiwa anti-phage protein KwaB-like domain-containing protein [Methanosarcina siciliae],219,219,100%,7.00E-66,19.56,323,WP_048170697.1,No,N/A ,,,Methanobacteriota,Methanosarcinales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Symbiobacteriaceae bacterium],219,219,99%,7.00E-66,16.45,313,HLO02592.1,No,N/A ,,,Bacillota,Eubacteriales
10 member(s) 6 organism(s),firmicutes,MULTISPECIES: DUF4868 domain-containing protein [Lysinibacillus],218,218,100%,8.00E-66,25.16,305,WP_069512251.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Solibacillus sp. FSL W8-0372],219,219,100%,8.00E-66,29.08,307,WP_339212951.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Vibrio vulnificus],218,218,91%,9.00E-66,15.57,304,EOV0147203.1,N/A,N/A ,,Seems to only have ncKwaB,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Lacticaseibacillus paracasei],218,218,100%,1.00E-65,23.86,308,WP_242755130.1,Yes,No,,Two ncKwa systems on different loci,Bacillota,Lactobacillales
1 member(s) 1 organism(s),CFB group bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Taishania pollutisoli],219,219,99%,1.00E-65,14.37,342,WP_216713970.1,No,N/A ,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Candidatus Eremiobacteraceae bacterium],218,218,99%,2.00E-65,18.24,313,HET9342928.1,No,N/A ,,,Vulcanimicrobiota,Candidatus Eremiobacterales
4 member(s) 4 organism(s),firmicutes,DUF4868 domain-containing protein [Lysinibacillus sp. A4],217,217,100%,2.00E-65,23.55,305,WP_259419557.1,Yes,Yes,PDC-M30A,,Bacillota,Bacillales
2 member(s) 2 organism(s),g-proteobacteria,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Vibrio],218,218,99%,3.00E-65,15.34,340,WP_046121723.1,No,N/A ,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Pyrinomonadaceae bacterium],217,217,99%,3.00E-65,15.36,313,HKZ02317.1,No,No,,,Acidobacteria,Blastocatellales
132 member(s) 7 organism(s),enterobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Escherichia coli],218,218,99%,4.00E-65,13.8,340,WP_373889486.1,No,N/A ,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),GNS bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ktedonobacteraceae bacterium],217,217,97%,4.00E-65,13.86,323,HEX6481266.1,No,N/A ,,,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),CFB group bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Spirosomataceae bacterium],217,217,91%,4.00E-65,12.2,302,MFN3783133.1,No,N/A ,,,Bacteroidota,Cytophagales
1 member(s) 1 organism(s),archaea,DUF4868 domain-containing protein [Candidatus Bathyarchaeota archaeon],217,217,99%,4.00E-65,17.11,309,MCJ7766903.1,No,N/A ,,,Candidatus Batyarchaeota,unclassified Candidatus Batyarchaeota
5 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Lacticaseibacillus paracasei],217,217,100%,4.00E-65,26.47,308,WP_049176522.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Sedimentibacter sp.],216,216,99%,4.00E-65,29.84,304,MGD9569686.1,Yes,Yes,Gabija,,Bacillota,Tissierellales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Sporolactobacillus vineae],216,216,99%,9.00E-65,28.43,304,WP_018962445.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),green sulfur bacteria,DUF4868 domain-containing protein [Chloroherpetonaceae bacterium],217,217,99%,9.00E-65,12.35,336,MDX2128364.1,No,N/A ,,,Chlorobiota,Chlorobiales
1 member(s) 1 organism(s),CFB group bacteria,DUF4868 domain-containing protein [Chitinophagaceae bacterium IBVUCB1],217,217,99%,9.00E-65,13.55,341,OSZ82094.1,No,N/A ,,,Bacteroidota,Chitinophagales
2 member(s) 2 organism(s),firmicutes,DUF4868 domain-containing protein [Lysinibacillus sp. 38-6],216,216,100%,1.00E-64,24.19,305,WP_409369635.1,Yes,No,,,Bacillota,Lysinibacillus
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Salibacterium lacus],216,216,100%,1.00E-64,25.41,307,WP_380712712.1,N/A,N/A ,,Seems to only have ncKwaB ,Bacillota,Bacillales
9 member(s) 3 organism(s),firmicutes,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Enterococcus],215,215,99%,2.00E-64,23.2,304,WP_002389856.1,Yes,No,,,Bacillota,Lactobacillales
3 member(s) 3 organism(s),enterobacteria,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [unclassified Providencia],216,216,99%,2.00E-64,13.19,340,WP_272693202.1,No,N/A ,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),GNS bacteria,DUF4868 domain-containing protein [Ktedonobacteraceae bacterium],216,216,98%,2.00E-64,14.89,325,MBA2392546.1,N/A,N/A ,,Seems to only have ncKwaB,Chloroflexota,Ktedonobacterales
15 member(s) 4 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Aeromonas veronii],216,216,99%,3.00E-64,12.35,337,WP_265783674.1,No,N/A ,,,Pseudomonadota,Aeromonadales
1 member(s) 1 organism(s),bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Planctomycetota bacterium],215,215,92%,3.00E-64,17.71,318,HEY3318940.1,No,N/A ,,,Plantomycetota,unclassified Plantomycetota
1 member(s) 1 organism(s),GNS bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ktedonobacter robiniae],215,215,99%,3.00E-64,15.77,329,WP_201372651.1,No,N/A ,,,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),CFB group bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Myroides profundi],216,216,99%,3.00E-64,14.5,339,WP_041891299.1,No,N/A ,,,Bacteroidota,Flavobacteriales
4 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Latilactobacillus curvatus],214,214,100%,4.00E-64,27.48,298,WP_186738763.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Limosilactobacillus vaginalis],214,214,97%,4.00E-64,30.14,300,WP_407366667.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Candidatus Sulfotelmatobacter sp.],214,214,96%,5.00E-64,15.25,310,MHB8218635.1,No,N/A ,,,Acidobacteria,Terriglobales
3 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Enterococcus faecium],214,214,99%,5.00E-64,23.93,302,WP_139907911.1,Yes,No,,,Bacillota,Lactobacillales
2 member(s) 1 organism(s),CFB group bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Bacteroides ovatus],215,215,99%,6.00E-64,15.06,339,WP_463640272.1,No,N/A ,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Ligilactobacillus animalis],214,214,100%,6.00E-64,23.05,306,WP_168731170.1,Yes,No,,,Bacillota,Lactobacillales
3 member(s) 2 organism(s),firmicutes,DUF4868 domain-containing protein [Limosilactobacillus oris],213,213,96%,7.00E-64,28.08,300,WP_265166341.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Lactobacillales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Vagococcus lutrae],213,213,99%,8.00E-64,24.43,305,WP_222317944.1,Yes,Yes,PDC-M24,,Bacillota,Lactobacillales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Peptoanaerobacter stomatis],213,213,100%,8.00E-64,38.24,302,WP_009524877.1,Yes,No,,,Bacillota,Peptostreptococcales
1 member(s) 1 organism(s),a-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Azospirillum argentinense],213,213,99%,1.00E-63,14.51,320,WP_349592682.1,No,N/A ,,,Pseudomonadota,Rhodospirillales
1 member(s) 1 organism(s),firmicutes,"Kiwa anti-phage protein KwaB-like domain-containing protein, partial [Peptoniphilus harei]",211,211,82%,1.00E-63,77.33,248,WP_112889254.1,Yes,No,,,Bacillota,Tissierellales
14 member(s) 4 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Enterococcus thailandicus],212,212,99%,1.00E-63,23.61,302,WP_270346641.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),CFB group bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ancylomarina subtilis],214,214,99%,2.00E-63,16.67,337,WP_207224514.1,No,N/A ,,,Bacteroidota,Marinilabiliales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Liquorilactobacillus nagelii],212,212,100%,2.00E-63,24.26,301,WP_278762381.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Aerococcus],212,212,100%,2.00E-63,28.24,294,WP_067975382.1,Yes,Yes,AbiO-Nhi family,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),bacteria,DUF4868 domain-containing protein [Candidatus Sumerlaeaceae bacterium],213,213,96%,2.00E-63,17.94,332,MBX7244071.1,No,N/A ,,,Candidatus Sumerlaeota,Candidatus Sumerlaeales
1 member(s) 1 organism(s),CFB group bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Aquipluma nitroreducens],214,214,99%,2.00E-63,13.86,341,WP_318348032.1,Yes,No,,,Bacteroidota,Marinilabiliales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Apilactobacillus timberlakei],212,212,99%,2.00E-63,25,302,WP_181399265.1,No,N/A ,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Tissierellaceae bacterium],213,213,96%,2.00E-63,28.33,331,MCK9443811.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Tissierellales
9 member(s) 9 organism(s),firmicutes,DUF4868 domain-containing protein [Lysinibacillus sp. NPDC097279],212,212,100%,2.00E-63,23.55,305,WP_402886878.1,Yes,No,,,Bacillota,Bacillales
3 member(s) 1 organism(s),CFB group bacteria,DUF4868 domain-containing protein [Bacteroides sp.],213,213,99%,2.00E-63,16.67,345,MBD5272085.1,N/A,N/A ,,Seems to only have ncKwaB,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),CFB group bacteria,DUF4868 domain-containing protein [Prolixibacteraceae bacterium],213,213,99%,3.00E-63,13.55,340,MDX9882620.1,No,N/A ,,,Bacteroidota,Marinilabiliales
2 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Limosilactobacillus caccae],212,212,100%,3.00E-63,25.32,307,WP_076462029.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Solibacillus palustris],212,212,100%,3.00E-63,23.23,305,WP_241369775.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),CFB group bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Flavobacterium nitrogenifigens],212,212,99%,4.00E-63,14.5,339,WP_308855235.1,No,N/A ,,,Bacteroidota,Flavobacteriales
2 member(s) 2 organism(s),bacteria,DUF4868 domain-containing protein [Erysipelotrichales bacterium],212,212,99%,4.00E-63,12.69,338,MEA4822373.1,No,N/A ,,,Bacillota,Erysipelotrichales
1 member(s) 1 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Wohlfahrtiimonas chitiniclastica],212,212,99%,4.00E-63,16.82,340,WP_213398782.1,No,N/A ,,,Pseudomonadota,Cardiobacteriales
1 member(s) 1 organism(s),GNS bacteria,MAG: DUF4868 domain-containing protein [Chloroflexota bacterium],212,212,92%,5.00E-63,15.28,325,TMD44622.1,No,N/A ,,,Chloroflexota,unclassified Chloroflexota
1 member(s) 1 organism(s),CFB group bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Flavobacterium columnare],212,212,99%,5.00E-63,14.2,338,WP_107317724.1,No,N/A ,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Limosilactobacillus fermentum],211,211,99%,5.00E-63,28,302,WP_021349257.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Lactobacillus kitasatonis],211,211,100%,7.00E-63,25.25,302,WP_464982485.1,Yes,No,,,Bacillota,Lactobacillales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Neobacillus cucumis],211,211,99%,9.00E-63,19.28,316,WP_180960405.1,No,N/A ,,,Bacillota,Bacillales
1 member(s) 1 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Chromohalobacter canadensis],212,212,99%,9.00E-63,12.96,338,WP_246919327.1,N/A,N/A ,,Seems to only have ncKwaB,Pseudomonadota,Oceanospirillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Turicibacter sanguinis],210,210,100%,1.00E-62,24.76,304,WP_317327296.1,Yes,Yes,RM type I & PDC-M13,,Bacillota,Erysipelotrichales
6 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Lactiplantibacillus pentosus],210,210,100%,1.00E-62,25.99,303,WP_152705704.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Lactobacillales
8 member(s) 4 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Enterococcus villorum],210,210,99%,1.00E-62,26.14,304,WP_081205052.1,Yes,No,,,Bacillota,Lactobacillales
2 member(s) 2 organism(s),CFB group bacteria,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Empedobacter],211,211,99%,2.00E-62,13.55,339,WP_286473955.1,No,N/A ,,,Bacteroidota,Flavobacteriales
5 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Enterococcus faecalis],210,210,99%,2.00E-62,24.18,304,WP_289856475.1,Yes,Yes,PD-T7-4,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Enterococcus casseliflavus],210,210,99%,2.00E-62,25.49,304,WP_317720950.1,Yes,No,,,Bacillota,Lactobacillales
2 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Enterococcus dongliensis],209,209,99%,2.00E-62,22.37,303,WP_311804953.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),CFB group bacteria,DUF4868 domain-containing protein [Bacteroidota bacterium],211,211,99%,3.00E-62,12.01,342,MBS1585501.1,No,N/A ,,,Bacteroidota,unclassified Bacteroidota
10 member(s) 4 organism(s),CFB group bacteria,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Bacteroidales],211,211,99%,3.00E-62,13.25,343,WP_052431645.1,No,N/A ,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Amphibacillus xylanus],209,209,100%,3.00E-62,22.9,307,WP_015008941.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Ligilactobacillus],209,209,100%,4.00E-62,22.73,306,WP_035447270.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),GNS bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ktedonobacteraceae bacterium],210,210,97%,4.00E-62,16.67,336,MHH6928574.1,No,N/A ,,,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),g-proteobacteria,DUF4868 domain-containing protein [Vibrio fluvialis],209,209,99%,7.00E-62,14.29,341,ELV8552728.1,No,N/A ,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Ligilactobacillus agilis],208,208,100%,9.00E-62,22.01,307,WP_432739110.1,Yes,Yes,cas type III-A,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),s__Lactococcus_A raffinolactis,Kiwa anti-phage protein KwaB-like domain-containing protein [Pseudolactococcus raffinolactis],208,208,99%,1.00E-61,23.86,303,WP_220437750.1,Yes,No,,,Bacillota,Lactobacillales
2 member(s) 1 organism(s),firmicutes,"Kiwa anti-phage protein KwaB-like domain-containing protein, partial [Clostridioides difficile]",206,206,82%,2.00E-61,37.05,250,WP_235665664.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Peptostreptococcales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Lactococcus garvieae],207,207,99%,2.00E-61,23.53,304,WP_412005966.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),GNS bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ktedonobacterales bacterium],208,208,89%,3.00E-61,15.25,363,HEY7778715.1,No,N/A ,,,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Phascolarctobacterium sp.],206,206,96%,6.00E-61,30.87,305,WP_455266223.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Acidaminococcales
3 member(s) 2 organism(s),enterobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Edwardsiella tarda],207,207,99%,7.00E-61,15.03,339,WP_430476209.1,No,N/A ,,,Pseudomonadota,Enterobacterales
6 member(s) 6 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Vibrio sp. K4],206,206,99%,1.00E-60,13.89,338,WP_434528781.1,No,N/A ,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Dialister invisus],203,203,79%,1.00E-60,93.33,241,WP_276697242.1,Yes,Yes,PDC-S15 & PDC-S57 & PDC-S13,,Bacillota,Veillonellales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Weissella paramesenteroides],203,203,79%,1.00E-60,45.19,239,XZO08228.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Alcanivorax sp.],206,206,99%,1.00E-60,12.04,339,WP_349381447.1,No,N/A ,,,Pseudomonadota,Oceanospirillales
1 member(s) 1 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Methylobacter tundripaludum],206,206,99%,2.00E-60,17.74,319,WP_104427578.1,No,N/A ,,,Pseudomonadota,Methylococcales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Viridibacillus arvi],204,204,90%,2.00E-60,30.91,295,WP_427790857.1,Yes,Yes,HEC-06 & qatABCD & darTG,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Enterococcus casseliflavus],205,205,99%,2.00E-60,24.84,304,WP_428217216.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Leuconostoc lactis],205,205,99%,2.00E-60,23.68,301,WP_270747197.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),bacteria,DUF4868 domain-containing protein [bacterium],205,205,97%,2.00E-60,16.44,314,MBO9542030.1,N/A,N/A ,,Seems to only have ncKwaB,unclassified Bacteria,unclassified Bacteria
1 member(s) 1 organism(s),bacteria,DUF4868 domain-containing protein [bacterium],205,205,96%,2.00E-60,25.95,307,MBR6422321.1,Yes,Yes,PDC-S15 ,,unclassified Bacteria,unclassified Bacteria
2 member(s) 2 organism(s),CFB group bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ferruginibacter sp.],206,206,99%,2.00E-60,13.69,343,MEQ1553805.1,No,No,,,Bacteroidota,Chitinophagales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Enterococcus casseliflavus],204,204,99%,2.00E-60,24.92,302,WP_223597592.1,Yes,No,,,Bacillota,Lactobacillales
26 member(s) 14 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Vibrio diabolicus],206,206,99%,2.00E-60,13.27,337,WP_374072172.1,No,No,,,Pseudomonadota,Vibrionales
2 member(s) 1 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Pseudoalteromonas luteoviolacea],205,205,99%,3.00E-60,13.23,338,WP_046355470.1,No,N/A ,,,Pseudomonadota,Alteromonadales
1 member(s) 1 organism(s),CFB group bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Prevotella sp.],206,206,99%,3.00E-60,13.55,354,MGM9779752.1,N/A,N/A ,,,Bacteroidota,Bacteroidales
