Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  ,Is the orientation ncKwa?,Any other defence system on same loci?,Other systems present,Remarks,Phylum,Order
3 member(s) 1 organism(s),E. coli,anti-phage protein KwaA [Escherichia coli],171,171,81%,6.00E-51,21.02,160,HHH7049939.1,No,,,,Pseudomonadota,Enterobacterales
3 member(s) 2 organism(s),g-proteobacteria,hypothetical protein [Vibrio parahaemolyticus],172,172,94%,8.00E-51,21.05,190,EKB3555031.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio parahaemolyticus],172,172,94%,1.00E-50,19.59,198,WP_140049426.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Actinobacillus equuli],172,172,95%,1.00E-50,20.42,195,WP_279470125.1,No,,,,Pseudomonadota,Pasteurellales
7 member(s) 5 organism(s),root,MULTISPECIES: anti-phage protein KwaA [Enterobacter cloacae complex],171,171,91%,2.00E-50,19.89,197,WP_252427160.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),RNA similarity group I,MULTISPECIES: anti-phage protein KwaA [Pseudomonas],171,171,98%,2.00E-50,16.67,196,WP_115077656.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),proteobacteria,anti-phage protein KwaA [Pseudomonadota bacterium],171,171,83%,2.00E-50,21.25,195,MES1983219.1,No,,,ncKwaB split in two,Pseudomonadota,unclassified Pseudomonadota
6 member(s) 5 organism(s),enterobacteria,anti-phage protein KwaA [Mixta calida],171,171,96%,2.00E-50,21.54,199,WP_316546218.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [uncultured Methylophaga sp.],171,171,97%,2.00E-50,19.49,195,WP_297807863.1,No,,,,Pseudomonadota,Thiotrichales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Pseudomonas corrugata],171,171,97%,2.00E-50,17.28,196,WP_425274959.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Pseudomonas protegens],170,170,97%,3.00E-50,21.05,192,WP_110595321.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Paenalcaligenes sp.],170,170,80%,3.00E-50,21.43,192,MGO3890036.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),bacteria,MAG: hypothetical protein CV087_23175 [Candidatus Brocadia sp. WS118],171,171,82%,3.00E-50,24.05,200,TVL96863.1,No,,,,Planctomycetota,Candidatus Brocadiales
3 member(s) 2 organism(s),enterobacteria,anti-phage protein KwaA [Escherichia coli],171,171,82%,3.00E-50,20.75,214,WP_023568590.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Roseburia sp.],171,171,94%,3.00E-50,20.86,207,MCM1025615.1,No,,,,Bacillota,Lachnospirales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Prevotella histicola],170,170,94%,3.00E-50,19.37,191,WP_036868218.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio qingdaonensis],170,170,96%,5.00E-50,15.76,204,WP_265674388.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Succinispira mobilis],170,170,97%,5.00E-50,22.8,194,WP_019879986.1,No,,,,Bacillota,Acidaminococcales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Halobacillus salinarum],170,170,85%,6.00E-50,24.55,218,WP_244708752.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Flavobacterium sp. AJR],170,170,94%,6.00E-50,21.99,192,WP_086893704.1,No,,,,Bacteroidota,Flavobacteriales
2 member(s) 2 organism(s),CFB group bacteria,anti-phage protein KwaA [Flagellimonas sediminis],170,170,85%,7.00E-50,24.39,194,WP_163634471.1,No,,,,Bacteroidota,Flavobacteriales
2 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Capnocytophaga canimorsus],169,169,84%,7.00E-50,28.22,194,WP_405217793.1,No,,,,Bacteroidota,Flavobacteriales
2 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Shewanella morhuae],170,170,94%,8.00E-50,22,202,WP_220271688.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Alteromonadales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Budvicia diplopodorum],169,169,82%,8.00E-50,20.75,190,WP_159567453.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Rahnella sp. AA],169,169,97%,8.00E-50,18.88,199,WP_101079304.1,No,,,Two ncKwa systems on different loci,Pseudomonadota,Enterobacterales
3 member(s) 1 organism(s),g-proteobacteria,hypothetical protein PALA51_05053 [Pseudomonas aeruginosa],170,170,83%,1.00E-49,16.77,219,WBI95174.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Exiguobacterium sp. CH10],169,169,95%,1.00E-49,25.13,194,WP_214876912.1,No,,,,Bacillota,Bacillales
10 member(s) 5 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Acinetobacter],169,169,82%,1.00E-49,22.93,198,WP_353675471.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Moraxellales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Paenibacillus gyeongsangnamensis],169,169,95%,1.00E-49,23.96,192,WP_269886104.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Acinetobacter sp. WCHAc060025],169,169,94%,1.00E-49,23.04,191,WP_130116461.1,No,,,,Pseudomonadota,Moraxellales
1 member(s) 1 organism(s),euryarchaeotes,hypothetical protein [Methanolobus sp.],169,169,94%,1.00E-49,21.76,202,MDI3486917.1,No,,,,Methanobacteriota,Methanosarcinales
3 member(s) 3 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Vibrio],169,169,95%,2.00E-49,15.82,198,WP_123309787.1,No,,,,Pseudomonadota,Vibrionales
3 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio campbellii],169,169,95%,2.00E-49,16.58,200,WP_332160029.1,No,,,,Pseudomonadota,Vibrionales
44 member(s) 18 organism(s),enterobacteria,anti-phage protein KwaA [Escherichia coli],168,168,94%,2.00E-49,21.47,195,WP_001189511.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Photobacterium phosphoreum],169,169,96%,2.00E-49,18.45,208,WP_328282521.1,No,,,,Pseudomonadota,Vibrionales
7 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Pseudomonas aeruginosa],168,168,83%,3.00E-49,16.77,196,WP_079384299.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Lachnospiraceae bacterium],168,168,99%,3.00E-49,19.29,200,MEZ3428157.1,No,,,,Bacillota,Lachnospirales
25 member(s) 9 organism(s),g-proteobacteria,anti-phage protein KwaA [Photobacterium damselae],168,168,95%,4.00E-49,23.41,205,WP_237033022.1,No,,,,Pseudomonadota,Vibrionales
4 member(s) 4 organism(s),enterobacteria,anti-phage protein KwaA [Kosakonia radicincitans],169,169,97%,4.00E-49,21.43,216,WP_338074260.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Photobacterium damselae],168,168,95%,5.00E-49,16.75,210,WP_341496088.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Vibrionales
13 member(s) 8 organism(s),enterobacteria,anti-phage protein KwaA [Klebsiella variicola],167,167,97%,6.00E-49,18.37,203,WP_131035581.1,No,,,,Pseudomonadota,Enterobacterales
4 member(s) 4 organism(s),CFB group bacteria,MULTISPECIES: anti-phage protein KwaA [Porphyromonas],167,167,84%,6.00E-49,24.54,194,WP_025843495.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Brumimicrobium sp.],167,167,85%,7.00E-49,26.83,194,MEX1190821.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Lachnospiraceae bacterium],167,167,99%,7.00E-49,19.29,205,MDE7339518.1,No,,,,Bacteroidota,Lachnospirales
1 member(s) 1 organism(s),CFB group bacteria,MAG: hypothetical protein EOO90_19910 [Pedobacter sp.],167,167,94%,7.00E-49,23.68,194,RZK39128.1,No,,,,Bacteroidota,Sphingobacteriales
1 member(s) 1 organism(s),E. coli,"anti-phage protein KwaA, partial [Escherichia coli]",167,167,81%,8.00E-49,21.74,187,WP_267834396.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
3 member(s) 3 organism(s),fluorescent pseudomonads,anti-phage protein KwaA [Pseudomonas moraviensis],167,167,96%,8.00E-49,16.49,189,WP_252874665.1,No,,,,Pseudomonadota,Pseudomonadales
3 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio vulnificus],167,167,96%,1.00E-48,16.49,195,WP_438052432.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio anguillarum],167,167,95%,1.00E-48,18.63,204,WP_017048216.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),g-proteobacteria,conserved membrane hypothetical protein [Vibrio chagasii],167,167,95%,1.00E-48,16.59,205,CAH7191024.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Xanthomonas sp. NCPPB 1325],166,166,85%,1.00E-48,21.47,195,WP_372361815.1,No,,,,Pseudomonadota,Lysobacterales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Paraburkholderia fungorum],166,166,83%,1.00E-48,22.93,192,CAH7191024.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Lachnospiraceae bacterium],167,167,98%,2.00E-48,17.86,205,MCI8951582.1,N/A,,,Seems to only have ncKwaA,Bacillota,Lachnospirales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Acetoanaerobium noterae],166,166,95%,2.00E-48,20.94,193,WP_313016655.1,No,,,,Bacillota,Peptostreptococcales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Citrobacter amalonaticus],165,165,89%,2.00E-48,21.71,171,HGY4723620.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
20 member(s) 13 organism(s),enterobacteria,anti-phage protein KwaA [Lelliottia amnigena],166,166,97%,2.00E-48,21.43,199,WP_239609971.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Histophilus somni],166,166,95%,2.00E-48,20.1,195,WP_249960691.1,No,,,,Pseudomonadota,Pasteurellales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Acinetobacter sp. WCHAc060042],165,165,85%,2.00E-48,18.4,190,WP_110975569.1,No,,,,Pseudomonadota,Moraxellales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Klebsiella quasipneumoniae],165,165,83%,3.00E-48,21.74,173,WP_333493068.1,No,,,,Pseudomonadota,Enterobacterales
2 member(s) 2 organism(s),enterobacteria,hypothetical protein [Salmonella enterica],164,164,81%,3.00E-48,22.5,164,EAV1664923.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Mesonia maritima],165,165,84%,3.00E-48,25.15,194,WP_309727526.1,No,,,,Bacteroidota,Flavobacteriales
2 member(s) 2 organism(s),firmicutes,MULTISPECIES: anti-phage protein KwaA [unclassified Sedimentibacter],165,165,95%,4.00E-48,21.88,197,WP_308138119.1,No,,,,Bacteroidota,Tissierellales
7 member(s) 7 organism(s),enterobacteria,anti-phage protein KwaA [Moellerella wisconsensis],165,165,95%,4.00E-48,20.31,195,WP_337260958.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Petrocella atlantisensis],165,165,95%,4.00E-48,24.35,194,WP_125137138.1,No,,,,Bacillota,Lachnospirales
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Lachnospiraceae bacterium],165,165,98%,4.00E-48,18.88,197,MBR1702527.1,No,,,,Bacillota,Lachnospirales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Photobacterium ganghwense],165,165,95%,4.00E-48,18.23,193,WP_217393094.1,No,,,,Pseudomonadota,Vibrionales
2 member(s) 2 organism(s),CFB group bacteria,anti-phage protein KwaA [Flavobacterium sp. GT3P67],165,165,83%,5.00E-48,23.75,194,WP_131995458.1,No,,,,Bacteroidota,Flavobacteriales
3 member(s) 2 organism(s),b-proteobacteria,anti-phage protein KwaA [Paraburkholderia xenovorans],165,165,83%,5.00E-48,23.57,192,WP_148222909.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),,anti-phage protein KwaA [Halobacillus sp. ABD4_316],165,165,97%,6.00E-48,23.35,200,WP_474993474.1,No,,,,Bacillota,Bacillales
32 member(s) 8 organism(s),g-proteobacteria,anti-phage protein KwaA [Aeromonas jandaei],165,165,96%,6.00E-48,17.62,194,WP_438415857.1,No,,,,Pseudomonadota,Aeromonadales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Chishuiella sp.],164,164,84%,7.00E-48,24.07,185,WP_313385606.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Paenibacillus marchantiophytorum],165,165,95%,7.00E-48,25.13,200,WP_189015313.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Prevotella sp.],164,164,94%,1.00E-47,21.99,199,MFC2489962.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Acinetobacter courvalinii],164,164,94%,1.00E-47,20,191,WP_005228329.1,No,,,,Pseudomonadota,Moraxellales
2 member(s) 2 organism(s),CFB group bacteria,anti-phage protein KwaA [Flavobacterium pokkalii],164,164,94%,1.00E-47,22.22,189,WP_188220792.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Dysgonomonas sp.],164,164,80%,1.00E-47,27.27,193,MFV0328430.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Oscillospiraceae bacterium],164,164,99%,1.00E-47,22.22,203,HAY73465.1,No,,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Tenacibaculum sp. nBUS_03],163,163,84%,2.00E-47,25.93,192,WP_435263834.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Bacteroides sp.],163,163,98%,2.00E-47,16.92,196,MFU2421996.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio splendidus],163,163,95%,2.00E-47,15.54,194,WP_102492614.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),euryarchaeotes,anti-phage protein KwaA [Methanosarcina mazei],164,164,93%,2.00E-47,20.83,206,WP_048040153.1,No,,,,Methanobacteriota,Methanosarcinales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [uncultured Shewanella sp.],163,163,94%,2.00E-47,22.51,197,WP_298772678.1,No,,,,Pseudomonadota,Alteromonadales
4 member(s) 4 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Aeromonas],163,163,82%,2.00E-47,20.25,201,WP_257690713.1,No,,,,Pseudomonadota,Aeromonadales
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Lachnospiraceae bacterium],163,163,97%,3.00E-47,18.13,205,MCH5261057.1,No,,,,Bacillota,Lachnospirales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Shewanella algae],163,163,94%,3.00E-47,18.38,191,WP_335901131.1,No,,,,Pseudomonadota,Alteromonadales
4 member(s) 3 organism(s),CFB group bacteria,anti-phage protein KwaA [Flavobacterium sp.],163,163,84%,3.00E-47,23.46,196,WP_324068996.1,No,,,,Bacteroidota,Flavobacteriales
2 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Cronobacter dublinensis],162,162,86%,4.00E-47,22.81,182,WP_336293346.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Bacteroidia bacterium],162,162,92%,4.00E-47,23.63,189,MBP6756587.1,No,,,,Bacteroidota,unclassified Bacteroidota
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Chryseobacterium culicis],162,162,82%,6.00E-47,24.68,194,WP_105680629.1,No,,,,Bacteroidota,Flavobacteriales
4 member(s) 1 organism(s),E. coli,"anti-phage protein KwaA, partial [Escherichia coli]",161,161,81%,6.00E-47,21.25,164,WP_271359449.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio panuliri],162,162,95%,6.00E-47,17.71,195,WP_075710808.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Cohnella hongkongensis],162,162,97%,7.00E-47,21.65,197,WP_378091415.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Buttiauxella brennerae],162,162,96%,8.00E-47,21.54,195,WP_310608461.1,No,,,,Pseudomonadota,Enterobacterales
2 member(s) 2 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Acinetobacter calcoaceticus/baumannii complex],161,161,84%,1.00E-46,20.37,190,WP_016653549.1,No,,,,Pseudomonadota,Moraxellales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Zunongwangia profunda],162,162,84%,1.00E-46,24.69,196,WP_228249237.1,No,,,,Bacteroidota,Flavobacteriales
2 member(s) 2 organism(s),CFB group bacteria,anti-phage protein KwaA [Epilithonimonas pallida],161,161,82%,1.00E-46,24.68,194,WP_283416830.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Aeromonas dhakensis],160,160,77%,1.00E-46,22.82,154,WP_422613891.1,No,,,,Pseudomonadota,Aeromonadales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Peptoniphilaceae bacterium],163,163,99%,1.00E-46,19.19,252,MGO3751523.1,No,,,,Bacillota,Tissierellales
2 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio parahaemolyticus],162,162,83%,2.00E-46,20.62,212,WP_206936715.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Mediterraneibacter catenae],161,161,99%,2.00E-46,21.11,204,WP_150311050.1,No,,,,Bacillota,Lachnospirales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Anaerocolumna sp.],161,161,95%,2.00E-46,22.4,197,MFV0341970.1,No,,,,Bacillota,Lachnospirales
5 member(s) 5 organism(s),b-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Burkholderia],161,161,83%,2.00E-46,22.93,192,WP_060261962.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),enterobacteria,hypothetical protein OS12_10780 [Dickeya oryzae],159,159,74%,2.00E-46,23.61,147,GAB7199636.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Mucilaginibacter myungsuensis],160,160,95%,2.00E-46,19.89,186,WP_194112318.1,No,,,,Bacteroidota,Sphingobacteriales
1 member(s) 1 organism(s),euryarchaeotes,MULTISPECIES: anti-phage protein KwaA [unclassified Methanolobus],161,161,94%,3.00E-46,21.24,202,WP_407281718.1,No,,,,Methanobacteriota,Methanosarcinales
3 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Butyricimonas virosa],160,160,85%,3.00E-46,25,194,WP_118258271.1,No,,,,Bacteroidota,Bacteroidales
3 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Agathobacter rectalis],160,160,99%,3.00E-46,16.67,200,WP_117715160.1,No,,,,Bacillota,Lachnospirales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Variovorax sp. RCC_210],160,160,83%,3.00E-46,21.02,202,WP_371087717.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Photobacterium damselae],160,160,96%,4.00E-46,20.53,195,WP_148109889.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Denitratisoma oestradiolicum],160,160,98%,7.00E-46,18.91,206,WP_145772385.1,No,,,,Pseudomonadota,Nitrosomonadales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Photobacterium toruni],160,160,95%,7.00E-46,17.65,204,WP_080176603.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Flavobacterium sp.],159,159,83%,9.00E-46,21.88,193,WP_415039696.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Proteus mirabilis],158,158,81%,9.00E-46,20,165,EKU7881633.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Ornithobacterium rhinotracheale],159,159,85%,1.00E-45,22.56,192,WP_449013797.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Aeromonas simiae],159,159,96%,1.00E-45,17.91,202,WP_042046264.1,No,,,,Pseudomonadota,Aeromonadales
3 member(s) 3 organism(s),g-proteobacteria,anti-phage protein KwaA [Acinetobacter modestus],159,159,87%,1.00E-45,20.69,190,WP_346512000.1,No,,,,Pseudomonadota,Moraxellales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Jeotgalibacillus proteolyticus],159,159,85%,2.00E-45,26.99,197,WP_426872992.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Enterobacter roggenkampii],158,158,85%,2.00E-45,18.9,178,WP_320206157.1,No,,,,Pseudomonadota,Enterobacterales
3 member(s) 2 organism(s),CFB group bacteria,MULTISPECIES: anti-phage protein KwaA [Sphingobacterium],158,158,95%,2.00E-45,23.96,195,WP_286752168.1,No,,,,Bacteroidota,Sphingobacteriales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Lachnospiraceae bacterium],158,158,98%,2.00E-45,16.49,196,MFI3236597.1,No,,,,Bacillota,Lachnospirales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Paraburkholderia sp.],158,158,83%,3.00E-45,24.2,192,WP_293039363.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Flavobacterium sp.],157,157,93%,4.00E-45,24.34,191,WP_297510038.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Tenacibaculum singaporense],157,157,85%,6.00E-45,24.39,191,WP_125345434.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Bacillus mycoides],157,157,84%,7.00E-45,25.93,194,WP_137057378.1,No,,,,Bacillota,Bacillales
2 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Indolivaga alginatilytica],157,157,81%,7.00E-45,26.11,192,WP_110312175.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio sp. ArtGut-C1],156,156,82%,8.00E-45,18.47,173,WP_371343735.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Bacteroidota bacterium],157,157,85%,9.00E-45,26.83,196,MEN9876673.1,No,,,,Bacteroidota,unclassified Bacteroidota
1 member(s) 1 organism(s),g-proteobacteria,"hypothetical protein CGH50_25975, partial [Vibrio parahaemolyticus]",156,156,84%,1.00E-44,17.24,182,TON82282.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Vibrionales
2 member(s) 2 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [unclassified Pseudomonas],156,156,92%,1.00E-44,17.89,198,WP_243435209.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Clostridia bacterium],156,156,98%,1.00E-44,19.8,198,MBO5715199.1,No,,,,Bacillota,unclassified Clostridia
2 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Shewanella xiamenensis],157,157,95%,1.00E-44,20.1,209,WP_374907454.1,No,,,,Pseudomonadota,Alteromonadales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Enterovibrio norvegicus],156,156,95%,2.00E-44,17.1,199,WP_102396815.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Acinetobacter portensis],155,155,84%,2.00E-44,21.6,190,WP_163122819.1,No,,,ncKwaB broken into two,Pseudomonadota,Moraxellales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Wenyingzhuangia heitensis],155,155,94%,2.00E-44,22.75,189,WP_394352398.1,No,,,,Bacteroidota,Flavobacteriales
2 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio cholerae],157,157,97%,3.00E-44,18.66,227,WP_254592131.1,No,,,,Pseudomonadota,Vibrionales
2 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Vibrio vulnificus],154,154,82%,3.00E-44,17.72,172,ELR8704593.1,No,,,,Pseudomonadota,Vibrionales
4 member(s) 3 organism(s),g-proteobacteria,anti-phage protein KwaA [Aeromonas hydrophila],154,154,78%,3.00E-44,17.88,168,WP_374898465.1,No,,,ncKwaB broken into two,Pseudomonadota,Aeromonadales
4 member(s) 4 organism(s),RNA similarity group I,anti-phage protein KwaA [Pseudomonas sp. USTB-Z],155,155,92%,4.00E-44,16.84,198,WP_259674085.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Lutibacter oricola],155,155,84%,4.00E-44,26.71,191,WP_090126752.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Photobacterium sp. DNB22_13_2],155,155,95%,5.00E-44,15.53,209,WP_446511629.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [uncultured Pseudacidovorax sp.],155,155,84%,5.00E-44,22.42,190,WP_295523685.1,No,,,,Pseudomonadota,Burkholderiales
